Name,Group,Measured,Modelled,Res,Wt,WtMeas,WtMod,WtRes,SD,NatWt,
ten1,tensio,-2.491389,-2.469590,-2.1799208E-02,1.000000,-2.491389,-2.469590,-2.1799208E-02,0.4057425,2.464618,
ten2,tensio,-2.491389,-2.469590,-2.1799208E-02,1.000000,-2.491389,-2.469590,-2.1799208E-02,0.4057425,2.464618,
ten3,tensio,-2.491389,-2.469590,-2.1799208E-02,1.000000,-2.491389,-2.469590,-2.1799208E-02,0.4057425,2.464618,
ten4,tensio,-2.491389,-2.469590,-2.1799208E-02,1.000000,-2.491389,-2.469590,-2.1799208E-02,0.4057425,2.464618,
ten5,tensio,-2.485649,-2.469590,-1.6058680E-02,1.000000,-2.485649,-2.469590,-1.6058680E-02,0.4057425,2.464618,
ten6,tensio,-2.491389,-2.469590,-2.1799208E-02,1.000000,-2.491389,-2.469590,-2.1799208E-02,0.4057425,2.464618,
ten7,tensio,-2.491389,-2.469590,-2.1799208E-02,1.000000,-2.491389,-2.469590,-2.1799208E-02,0.4057425,2.464618,
ten8,tensio,-2.485649,-2.469590,-1.6058680E-02,1.000000,-2.485649,-2.469590,-1.6058680E-02,0.4057425,2.464618,
ten9,tensio,-2.491389,-2.469590,-2.1799208E-02,1.000000,-2.491389,-2.469590,-2.1799208E-02,0.4057425,2.464618,
ten10,tensio,-2.485649,-2.469590,-1.6058680E-02,1.000000,-2.485649,-2.469590,-1.6058680E-02,0.4057425,2.464618,
ten11,tensio,-2.485649,-2.469590,-1.6058680E-02,1.000000,-2.485649,-2.469590,-1.6058680E-02,0.4057425,2.464618,
ten12,tensio,-2.485649,-2.469590,-1.6058680E-02,1.000000,-2.485649,-2.469590,-1.6058680E-02,0.4057425,2.464618,
ten13,tensio,-2.485649,-2.469590,-1.6058680E-02,1.000000,-2.485649,-2.469590,-1.6058680E-02,0.4057425,2.464618,
ten14,tensio,-2.485649,-2.469590,-1.6058680E-02,1.000000,-2.485649,-2.469590,-1.6058680E-02,0.4057425,2.464618,
ten15,tensio,-2.485649,-2.469590,-1.6058680E-02,1.000000,-2.485649,-2.469590,-1.6058680E-02,0.4057425,2.464618,
ten16,tensio,-2.479908,-2.469590,-1.0318152E-02,1.000000,-2.479908,-2.469590,-1.0318152E-02,0.4057425,2.464618,
ten17,tensio,-2.485649,-2.469590,-1.6058680E-02,1.000000,-2.485649,-2.469590,-1.6058680E-02,0.4057425,2.464618,
ten18,tensio,-2.485649,-2.288929,-0.1967197,1.000000,-2.485649,-2.288929,-0.1967197,0.4057425,2.464618,
ten19,tensio,-2.479908,-1.973258,-0.5066502,1.000000,-2.479908,-1.973258,-0.5066502,0.4057425,2.464618,
ten20,tensio,-2.485649,-1.879546,-0.6061027,1.000000,-2.485649,-1.879546,-0.6061027,0.4057425,2.464618,
ten21,tensio,-2.479908,-1.837345,-0.6425632,1.000000,-2.479908,-1.837345,-0.6425632,0.4057425,2.464618,
ten22,tensio,-2.485649,-1.797761,-0.6878877,1.000000,-2.485649,-1.797761,-0.6878877,0.4057425,2.464618,
ten23,tensio,-2.479908,-1.760502,-0.7194062,1.000000,-2.479908,-1.760502,-0.7194062,0.4057425,2.464618,
ten24,tensio,-2.485649,-1.760502,-0.7251467,1.000000,-2.485649,-1.760502,-0.7251467,0.4057425,2.464618,
ten25,tensio,-2.479908,-1.725320,-0.7545882,1.000000,-2.479908,-1.725320,-0.7545882,0.4057425,2.464618,
