Name,Group,Measured,Modelled,Res,Wt,WtMeas,WtMod,WtRes,SD,NatWt,
ten1,tensio,-2.566016,-2.566482,4.6592652E-04,1.000000,-2.566016,-2.566482,4.6592652E-04,0.7220097,1.385023,
ten2,tensio,-2.566016,-2.566482,4.6592652E-04,1.000000,-2.566016,-2.566482,4.6592652E-04,0.7220097,1.385023,
ten3,tensio,-2.548794,-2.566482,1.7687511E-02,1.000000,-2.548794,-2.566482,1.7687511E-02,0.7220097,1.385023,
ten4,tensio,-2.548794,-2.566482,1.7687511E-02,1.000000,-2.548794,-2.566482,1.7687511E-02,0.7220097,1.385023,
ten5,tensio,-2.554535,-2.566482,1.1946983E-02,1.000000,-2.554535,-2.566482,1.1946983E-02,0.7220097,1.385023,
ten6,tensio,-2.566016,-2.566482,4.6592652E-04,1.000000,-2.566016,-2.566482,4.6592652E-04,0.7220097,1.385023,
ten7,tensio,-2.560276,-2.566482,6.2064547E-03,1.000000,-2.560276,-2.566482,6.2064547E-03,0.7220097,1.385023,
ten8,tensio,-2.548794,-2.566482,1.7687511E-02,1.000000,-2.548794,-2.566482,1.7687511E-02,0.7220097,1.385023,
ten9,tensio,-2.560276,-2.566482,6.2064547E-03,1.000000,-2.560276,-2.566482,6.2064547E-03,0.7220097,1.385023,
ten10,tensio,-2.548794,-2.566482,1.7687511E-02,1.000000,-2.548794,-2.566482,1.7687511E-02,0.7220097,1.385023,
ten11,tensio,-2.548794,-2.566482,1.7687511E-02,1.000000,-2.548794,-2.566482,1.7687511E-02,0.7220097,1.385023,
ten12,tensio,-2.554535,-2.566482,1.1946983E-02,1.000000,-2.554535,-2.566482,1.1946983E-02,0.7220097,1.385023,
ten13,tensio,-2.548794,-2.566482,1.7687511E-02,1.000000,-2.548794,-2.566482,1.7687511E-02,0.7220097,1.385023,
ten14,tensio,-2.554535,-2.566482,1.1946983E-02,1.000000,-2.554535,-2.566482,1.1946983E-02,0.7220097,1.385023,
ten15,tensio,-2.543054,-2.566482,2.3428039E-02,1.000000,-2.543054,-2.566482,2.3428039E-02,0.7220097,1.385023,
ten16,tensio,-2.531573,-2.566482,3.4909095E-02,1.000000,-2.531573,-2.566482,3.4909095E-02,0.7220097,1.385023,
ten17,tensio,-2.537313,-2.566482,2.9168567E-02,1.000000,-2.537313,-2.566482,2.9168567E-02,0.7220097,1.385023,
ten18,tensio,-2.543054,-2.566482,2.3428039E-02,1.000000,-2.543054,-2.566482,2.3428039E-02,0.7220097,1.385023,
ten19,tensio,-2.525832,-2.324927,-0.2009054,1.000000,-2.525832,-2.324927,-0.2009054,0.7220097,1.385023,
ten20,tensio,-2.531573,-1.578929,-0.9526439,1.000000,-2.531573,-1.578929,-0.9526439,0.7220097,1.385023,
ten21,tensio,-2.525832,-1.550274,-0.9755584,1.000000,-2.525832,-1.550274,-0.9755584,0.7220097,1.385023,
ten22,tensio,-2.548794,-1.523712,-1.025082,1.000000,-2.548794,-1.523712,-1.025082,0.7220097,1.385023,
ten23,tensio,-2.531573,-1.498958,-1.032615,1.000000,-2.531573,-1.498958,-1.032615,0.7220097,1.385023,
ten24,tensio,-2.548794,-1.498958,-1.049836,1.000000,-2.548794,-1.498958,-1.049836,0.7220097,1.385023,
ten25,tensio,-2.525832,-1.475779,-1.050053,1.000000,-2.525832,-1.475779,-1.050053,0.7220097,1.385023,
ten26,tensio,-2.537313,-1.475779,-1.061534,1.000000,-2.537313,-1.475779,-1.061534,0.7220097,1.385023,
ten27,tensio,-2.537313,-1.475779,-1.061534,1.000000,-2.537313,-1.475779,-1.061534,0.7220097,1.385023,
ten28,tensio,-2.508611,-1.453984,-1.054627,1.000000,-2.508611,-1.453984,-1.054627,0.7220097,1.385023,
ten29,tensio,-2.497130,-1.453984,-1.043146,1.000000,-2.497130,-1.453984,-1.043146,0.7220097,1.385023,
ten30,tensio,-2.520092,-1.453984,-1.066108,1.000000,-2.520092,-1.453984,-1.066108,0.7220097,1.385023,
ten31,tensio,-2.514351,-1.453984,-1.060367,1.000000,-2.514351,-1.453984,-1.060367,0.7220097,1.385023,
ten32,tensio,-2.537313,-1.453984,-1.083329,1.000000,-2.537313,-1.453984,-1.083329,0.7220097,1.385023,
ten33,tensio,-2.514351,-1.453984,-1.060367,1.000000,-2.514351,-1.453984,-1.060367,0.7220097,1.385023,
ten34,tensio,-2.520092,-1.453984,-1.066108,1.000000,-2.520092,-1.453984,-1.066108,0.7220097,1.385023,
ten35,tensio,-2.520092,-1.475779,-1.044313,1.000000,-2.520092,-1.475779,-1.044313,0.7220097,1.385023,
ten36,tensio,-2.525832,-1.475779,-1.050053,1.000000,-2.525832,-1.475779,-1.050053,0.7220097,1.385023,
ten37,tensio,-2.531573,-1.523712,-1.007861,1.000000,-2.531573,-1.523712,-1.007861,0.7220097,1.385023,
ten38,tensio,-2.543054,-1.550274,-0.9927800,1.000000,-2.543054,-1.550274,-0.9927800,0.7220097,1.385023,
ten39,tensio,-2.543054,-1.578929,-0.9641250,1.000000,-2.543054,-1.578929,-0.9641250,0.7220097,1.385023,
ten40,tensio,-2.543054,-1.610032,-0.9330220,1.000000,-2.543054,-1.610032,-0.9330220,0.7220097,1.385023,
ten41,tensio,-2.543054,-1.610032,-0.9330220,1.000000,-2.543054,-1.610032,-0.9330220,0.7220097,1.385023,
ten42,tensio,-2.543054,-1.644030,-0.8990240,1.000000,-2.543054,-1.644030,-0.8990240,0.7220097,1.385023,
ten43,tensio,-2.537313,-1.644030,-0.8932834,1.000000,-2.537313,-1.644030,-0.8932834,0.7220097,1.385023,
ten44,tensio,-2.537313,-1.681498,-0.8558154,1.000000,-2.537313,-1.681498,-0.8558154,0.7220097,1.385023,
ten45,tensio,-2.543054,-1.681498,-0.8615560,1.000000,-2.543054,-1.681498,-0.8615560,0.7220097,1.385023,
ten46,tensio,-2.548794,-1.723190,-0.8256045,1.000000,-2.548794,-1.723190,-0.8256045,0.7220097,1.385023,
ten47,tensio,-2.548794,-1.723190,-0.8256045,1.000000,-2.548794,-1.723190,-0.8256045,0.7220097,1.385023,
ten48,tensio,-2.543054,-1.723190,-0.8198640,1.000000,-2.543054,-1.723190,-0.8198640,0.7220097,1.385023,
ten49,tensio,-2.537313,-1.723190,-0.8141234,1.000000,-2.537313,-1.723190,-0.8141234,0.7220097,1.385023,
ten50,tensio,-2.543054,-1.770121,-0.7729330,1.000000,-2.543054,-1.770121,-0.7729330,0.7220097,1.385023,
ten51,tensio,-2.548794,-1.770121,-0.7786735,1.000000,-2.548794,-1.770121,-0.7786735,0.7220097,1.385023,
ten52,tensio,-2.548794,-1.770121,-0.7786735,1.000000,-2.548794,-1.770121,-0.7786735,0.7220097,1.385023,
ten53,tensio,-2.548794,-1.770121,-0.7786735,1.000000,-2.548794,-1.770121,-0.7786735,0.7220097,1.385023,
ten54,tensio,-2.548794,-1.770121,-0.7786735,1.000000,-2.548794,-1.770121,-0.7786735,0.7220097,1.385023,
ten55,tensio,-2.543054,-1.823702,-0.7193520,1.000000,-2.543054,-1.823702,-0.7193520,0.7220097,1.385023,
