minu,nopomat,noposur,pomat,posur
0,-1.378337,0,-1.426687,0
15,-1.378337,0,-1.426687,0
30,-1.378337,0,-1.426687,0
45,-1.378337,0,-1.426687,0
60,-1.378337,0,-1.426687,0
75,-1.378337,0,-1.426687,0
90,-1.378337,0,-1.426687,0
105,-1.378337,0,-1.426687,0
120,-1.378337,0,-1.426687,0
135,-1.378337,0,-1.426687,0
150,-1.378337,0,-1.426687,0
165,-1.378337,0,-1.426687,0
180,-1.378337,0,-1.426687,0
195,-1.378337,0,-1.426687,0
210,-1.378337,0,-1.426687,0
225,-1.378337,0,-1.426687,0
240,-1.378337,0,-1.426687,0.001674
255,-1.378337,0,-1.426687,0.013919
270,-1.307042,0,-1.426687,0.028898
285,-1.243075,0,-1.426687,0.043828
300,-1.19881,0,-1.426687,0.058719
315,-1.030614,0,-1.426687,0.073582
330,-0.809049,0,-1.426687,0.088421
345,-0.759346,0,-1.426687,0.103241
360,-0.77206,0,-1.426687,0.100139
375,-0.784566,0,-1.426687,0.097173
390,-0.796887,0,-1.426687,0.094322
405,-0.796887,0,-1.426687,0.091568
420,-0.809049,0,-1.426687,0.088898
435,-0.821071,0,-1.426687,0.086302
450,-0.832973,0,-1.426687,0.083772
465,-0.844773,0,-1.426687,0.0813
480,-0.844773,0,-1.426687,0.078882
495,-0.856487,0,-1.426687,0.076511
510,-0.86813,0,-1.426687,0.074184
525,-0.879717,0,-1.426687,0.071897
540,-0.879717,0,-1.426687,0.069647
555,-0.89126,0,-1.426687,0.067431
570,-0.89126,0,-1.426687,0.065246
585,-0.902772,0,-1.426687,0.063092
600,-0.914266,0,-1.426687,0.060965
615,-0.925753,0,-1.426687,0.058864
630,-0.937245,0,-1.426687,0.056787
645,-0.948752,0,-1.426687,0.054733
660,-0.948752,0,-1.426687,0.052701
675,-0.960285,0,-1.426687,0.050689
690,-0.971854,0,-1.426687,0.048697
705,-0.983471,0,-1.426687,0.046723
720,-0.995145,0,-1.426687,0.044767
735,-0.995145,0,-1.426687,0.042827
750,-1.006886,0,-1.426687,0.040903
765,-1.018706,0,-1.426687,0.038995
780,-1.018706,0,-1.426687,0.037101
795,-1.030614,0,-1.426687,0.035221
810,-1.042621,0,-1.426687,0.033354
825,-1.042621,0,-1.426687,0.0315
840,-1.054739,0,-1.426687,0.029658
855,-1.054739,0,-1.426687,0.027828
870,-1.066978,0,-1.426687,0.02601
885,-1.066978,0,-1.426687,0.024203
900,-1.07935,0,-1.426687,0.022406
915,-1.07935,0,-1.426687,0.020619
930,-1.091867,0,-1.426687,0.018842
945,-1.091867,0,-1.426687,0.017075
960,-1.091867,0,-1.426687,0.015317
975,-1.104541,0,-1.426687,0.013567
990,-1.104541,0,-1.426687,0.011827
1005,-1.117385,0,-1.426687,0.010095
1020,-1.117385,0,-1.426687,0.008371
1035,-1.117385,0,-1.426687,0.006654
1050,-1.130411,0,-1.426687,0.004946
1065,-1.130411,0,-1.426687,0.003245
1080,-1.130411,0,-1.426687,0.001551
1095,-1.143635,0,-1.426687,0
1110,-1.143635,0,-1.426687,0
1125,-1.143635,0,-1.426687,0
1140,-1.157071,0,-1.426687,0
1155,-1.157071,0,-1.426687,0
1170,-1.157071,0,-1.426687,0
1185,-1.157071,0,-1.426687,0
1200,-1.170734,0,-1.426687,0
1215,-1.170734,0,-1.426687,0
1230,-1.170734,0,-1.426687,0
1245,-1.170734,0,-1.426687,0
1260,-1.184641,0,-1.426687,0
1275,-1.184641,0,-1.426687,0
1290,-1.184641,0,-1.426687,0
1305,-1.184641,0,-1.426687,0
1320,-1.19881,0,-1.426687,0
1335,-1.19881,0,-1.426687,0
1350,-1.19881,0,-1.426687,0
1365,-1.19881,0,-1.426687,0
1380,-1.213258,0,-1.426687,0
1395,-1.213258,0,-1.426687,0
1410,-1.213258,0,-1.426687,0
1425,-1.213258,0,-1.426687,0
