Name,Group,Measured,Modelled,Res,Wt,WtMeas,WtMod,WtRes,SD,NatWt,
ten1,tensio,-1.464409,-1.496544,3.2135274E-02,1.000000,-1.464409,-1.496544,3.2135274E-02,10.37001,9.6431959E-02,
ten2,tensio,-1.460964,-1.496544,3.5579591E-02,1.000000,-1.460964,-1.496544,3.5579591E-02,10.37001,9.6431959E-02,
ten3,tensio,-1.458668,-1.496544,3.7875803E-02,1.000000,-1.458668,-1.496544,3.7875803E-02,10.37001,9.6431959E-02,
ten4,tensio,-1.459816,-1.496544,3.6727697E-02,1.000000,-1.459816,-1.496544,3.6727697E-02,10.37001,9.6431959E-02,
ten5,tensio,-1.456946,-1.496544,3.9597961E-02,1.000000,-1.456946,-1.496544,3.9597961E-02,10.37001,9.6431959E-02,
ten6,tensio,-1.461538,-1.496544,3.5005538E-02,1.000000,-1.461538,-1.496544,3.5005538E-02,10.37001,9.6431959E-02,
ten7,tensio,-1.460390,-1.496544,3.6153644E-02,1.000000,-1.460390,-1.496544,3.6153644E-02,10.37001,9.6431959E-02,
ten8,tensio,-1.458668,-1.496544,3.7875803E-02,1.000000,-1.458668,-1.496544,3.7875803E-02,10.37001,9.6431959E-02,
ten9,tensio,-1.462113,-1.496544,3.4431486E-02,1.000000,-1.462113,-1.496544,3.4431486E-02,10.37001,9.6431959E-02,
ten10,tensio,-1.453502,-1.496544,4.3042278E-02,1.000000,-1.453502,-1.496544,4.3042278E-02,10.37001,9.6431959E-02,
ten11,tensio,-1.454076,-1.496544,4.2468225E-02,1.000000,-1.454076,-1.496544,4.2468225E-02,10.37001,9.6431959E-02,
ten12,tensio,-1.451780,-1.496544,4.4764436E-02,1.000000,-1.451780,-1.496544,4.4764436E-02,10.37001,9.6431959E-02,
ten13,tensio,-1.452354,-1.496544,4.4190383E-02,1.000000,-1.452354,-1.496544,4.4190383E-02,10.37001,9.6431959E-02,
ten14,tensio,-1.458668,-1.496544,3.7875803E-02,1.000000,-1.458668,-1.496544,3.7875803E-02,10.37001,9.6431959E-02,
ten15,tensio,-1.452354,-1.496544,4.4190383E-02,1.000000,-1.452354,-1.496544,4.4190383E-02,10.37001,9.6431959E-02,
ten16,tensio,-1.448909,-1.496544,4.7634700E-02,1.000000,-1.448909,-1.496544,4.7634700E-02,10.37001,9.6431959E-02,
ten17,tensio,-1.449483,-1.496544,4.7060648E-02,1.000000,-1.449483,-1.496544,4.7060648E-02,10.37001,9.6431959E-02,
ten18,tensio,-1.430540,-1.496544,6.6004390E-02,1.000000,-1.430540,-1.496544,6.6004390E-02,10.37001,9.6431959E-02,
ten19,tensio,-1.404133,-1.496544,9.2410820E-02,1.000000,-1.404133,-1.496544,9.2410820E-02,10.37001,9.6431959E-02,
ten20,tensio,-1.320321,-1.496544,0.1762225,1.000000,-1.320321,-1.496544,0.1762225,10.37001,9.6431959E-02,
ten21,tensio,-1.060276,-1.496544,0.4362685,1.000000,-1.060276,-1.496544,0.4362685,10.37001,9.6431959E-02,
ten22,tensio,-0.7824340,-1.187942,0.4055080,1.000000,-0.7824340,-1.187942,0.4055080,10.37001,9.6431959E-02,
ten23,tensio,-0.7169920,-0.7925870,7.5595037E-02,1.000000,-0.7169920,-0.7925870,7.5595037E-02,10.37001,9.6431959E-02,
ten24,tensio,-0.7112514,-0.7580570,4.6805565E-02,1.000000,-0.7112514,-0.7580570,4.6805565E-02,10.37001,9.6431959E-02,
ten25,tensio,-0.7123995,-0.7474510,3.5051459E-02,1.000000,-0.7123995,-0.7474510,3.5051459E-02,10.37001,9.6431959E-02,
ten26,tensio,-0.7152698,-0.7474510,3.2181195E-02,1.000000,-0.7152698,-0.7474510,3.2181195E-02,10.37001,9.6431959E-02,
ten27,tensio,-0.7169920,-0.7474510,3.0459037E-02,1.000000,-0.7169920,-0.7474510,3.0459037E-02,10.37001,9.6431959E-02,
ten28,tensio,-0.7307692,-0.7474510,1.6681769E-02,1.000000,-0.7307692,-0.7474510,1.6681769E-02,10.37001,9.6431959E-02,
ten29,tensio,-0.7669346,-0.7580570,-8.8775580E-03,1.000000,-0.7669346,-0.7580570,-8.8775580E-03,10.37001,9.6431959E-02,
ten30,tensio,-0.7887486,-0.7580570,-3.0691565E-02,1.000000,-0.7887486,-0.7580570,-3.0691565E-02,10.37001,9.6431959E-02,
ten31,tensio,-0.8088404,-0.7690890,-3.9751413E-02,1.000000,-0.8088404,-0.7690890,-3.9751413E-02,10.37001,9.6431959E-02,
ten32,tensio,-0.8283582,-0.7690890,-5.9269209E-02,1.000000,-0.8283582,-0.7690890,-5.9269209E-02,10.37001,9.6431959E-02,
ten33,tensio,-0.8467279,-0.7805840,-6.6143899E-02,1.000000,-0.8467279,-0.7805840,-6.6143899E-02,10.37001,9.6431959E-02,
ten34,tensio,-0.8639495,-0.7925870,-7.1362483E-02,1.000000,-0.8639495,-0.7925870,-7.1362483E-02,10.37001,9.6431959E-02,
ten35,tensio,-0.8828932,-0.8051480,-7.7745226E-02,1.000000,-0.8828932,-0.8051480,-7.7745226E-02,10.37001,9.6431959E-02,
ten36,tensio,-0.8960964,-0.8183260,-7.7770441E-02,1.000000,-0.8960964,-0.8183260,-7.7770441E-02,10.37001,9.6431959E-02,
ten37,tensio,-0.9064294,-0.8321840,-7.4245392E-02,1.000000,-0.9064294,-0.8321840,-7.4245392E-02,10.37001,9.6431959E-02,
ten38,tensio,-0.9173364,-0.8321840,-8.5152395E-02,1.000000,-0.9173364,-0.8321840,-8.5152395E-02,10.37001,9.6431959E-02,
ten39,tensio,-0.9282434,-0.8468010,-8.1442398E-02,1.000000,-0.9282434,-0.8468010,-8.1442398E-02,10.37001,9.6431959E-02,
ten40,tensio,-0.9380023,-0.8622630,-7.5739296E-02,1.000000,-0.9380023,-0.8622630,-7.5739296E-02,10.37001,9.6431959E-02,
ten41,tensio,-0.9477612,-0.8622630,-8.5498194E-02,1.000000,-0.9477612,-0.8622630,-8.5498194E-02,10.37001,9.6431959E-02,
ten42,tensio,-0.9552239,-0.8786760,-7.6547881E-02,1.000000,-0.9552239,-0.8786760,-7.6547881E-02,10.37001,9.6431959E-02,
ten43,tensio,-0.9632606,-0.8786760,-8.4584620E-02,1.000000,-0.9632606,-0.8786760,-8.4584620E-02,10.37001,9.6431959E-02,
ten44,tensio,-0.9712974,-0.8786760,-9.2621359E-02,1.000000,-0.9712974,-0.8786760,-9.2621359E-02,10.37001,9.6431959E-02,
ten45,tensio,-0.9799082,-0.8961600,-8.3748152E-02,1.000000,-0.9799082,-0.8961600,-8.3748152E-02,10.37001,9.6431959E-02,
ten46,tensio,-0.9862227,-0.8961600,-9.0062732E-02,1.000000,-0.9862227,-0.8961600,-9.0062732E-02,10.37001,9.6431959E-02,
ten47,tensio,-0.9936854,-0.8961600,-9.7525419E-02,1.000000,-0.9936854,-0.8961600,-9.7525419E-02,10.37001,9.6431959E-02,
ten48,tensio,-1.000574,-0.9148610,-8.5713053E-02,1.000000,-1.000574,-0.9148610,-8.5713053E-02,10.37001,9.6431959E-02,
ten49,tensio,-1.006889,-0.9148610,-9.2027634E-02,1.000000,-1.006889,-0.9148610,-9.2027634E-02,10.37001,9.6431959E-02,
ten50,tensio,-1.013203,-0.9148610,-9.8342215E-02,1.000000,-1.013203,-0.9148610,-9.8342215E-02,10.37001,9.6431959E-02,
ten51,tensio,-1.020092,-0.9349550,-8.5136848E-02,1.000000,-1.020092,-0.9349550,-8.5136848E-02,10.37001,9.6431959E-02,
ten52,tensio,-1.025832,-0.9349550,-9.0877377E-02,1.000000,-1.025832,-0.9349550,-9.0877377E-02,10.37001,9.6431959E-02,
ten53,tensio,-1.030999,-0.9349550,-9.6043852E-02,1.000000,-1.030999,-0.9349550,-9.6043852E-02,10.37001,9.6431959E-02,
ten54,tensio,-1.035591,-0.9349550,-0.1006363,1.000000,-1.035591,-0.9349550,-0.1006363,10.37001,9.6431959E-02,
ten55,tensio,-1.039610,-0.9349550,-0.1046546,1.000000,-1.039610,-0.9349550,-0.1046546,10.37001,9.6431959E-02,
ten56,tensio,-1.044202,-0.9566560,-8.7546067E-02,1.000000,-1.044202,-0.9566560,-8.7546067E-02,10.37001,9.6431959E-02,
ten57,tensio,-1.049943,-0.9566560,-9.3286595E-02,1.000000,-1.049943,-0.9566560,-9.3286595E-02,10.37001,9.6431959E-02,
ten58,tensio,-1.052813,-0.9566560,-9.6156859E-02,1.000000,-1.052813,-0.9566560,-9.6156859E-02,10.37001,9.6431959E-02,
ten59,tensio,-1.056257,-0.9566560,-9.9601176E-02,1.000000,-1.056257,-0.9566560,-9.9601176E-02,10.37001,9.6431959E-02,
ten60,tensio,-1.060850,-0.9566560,-0.1041936,1.000000,-1.060850,-0.9566560,-0.1041936,10.37001,9.6431959E-02,
ten61,tensio,-1.063720,-0.9802250,-8.3494862E-02,1.000000,-1.063720,-0.9802250,-8.3494862E-02,10.37001,9.6431959E-02,
ten62,tensio,-1.068312,-0.9802250,-8.8087285E-02,1.000000,-1.068312,-0.9802250,-8.8087285E-02,10.37001,9.6431959E-02,
ten63,tensio,-1.072331,-0.9802250,-9.2105654E-02,1.000000,-1.072331,-0.9802250,-9.2105654E-02,10.37001,9.6431959E-02,
ten64,tensio,-1.075775,-0.9802250,-9.5549971E-02,1.000000,-1.075775,-0.9802250,-9.5549971E-02,10.37001,9.6431959E-02,
ten65,tensio,-1.078071,-0.9802250,-9.7846183E-02,1.000000,-1.078071,-0.9802250,-9.7846183E-02,10.37001,9.6431959E-02,
ten66,tensio,-1.082090,-0.9802250,-0.1018646,1.000000,-1.082090,-0.9802250,-0.1018646,10.37001,9.6431959E-02,
ten67,tensio,-1.085534,-0.9802250,-0.1053089,1.000000,-1.085534,-0.9802250,-0.1053089,10.37001,9.6431959E-02,
ten68,tensio,-1.088404,-1.005991,-8.2413133E-02,1.000000,-1.088404,-1.005991,-8.2413133E-02,10.37001,9.6431959E-02,
ten69,tensio,-1.091274,-1.005991,-8.5283397E-02,1.000000,-1.091274,-1.005991,-8.5283397E-02,10.37001,9.6431959E-02,
ten70,tensio,-1.092423,-1.005991,-8.6431503E-02,1.000000,-1.092423,-1.005991,-8.6431503E-02,10.37001,9.6431959E-02,
ten71,tensio,-1.097015,-1.005991,-9.1023925E-02,1.000000,-1.097015,-1.005991,-9.1023925E-02,10.37001,9.6431959E-02,
ten72,tensio,-1.100459,-1.005991,-9.4468242E-02,1.000000,-1.100459,-1.005991,-9.4468242E-02,10.37001,9.6431959E-02,
ten73,tensio,-1.102181,-1.005991,-9.6190401E-02,1.000000,-1.102181,-1.005991,-9.6190401E-02,10.37001,9.6431959E-02,
ten74,tensio,-1.105052,-1.005991,-9.9060665E-02,1.000000,-1.105052,-1.005991,-9.9060665E-02,10.37001,9.6431959E-02,
ten75,tensio,-1.107348,-1.005991,-0.1013569,1.000000,-1.107348,-1.005991,-0.1013569,10.37001,9.6431959E-02,
ten76,tensio,-1.109644,-1.034371,-7.5273087E-02,1.000000,-1.109644,-1.034371,-7.5273087E-02,10.37001,9.6431959E-02,
ten77,tensio,-1.113088,-1.034371,-7.8717404E-02,1.000000,-1.113088,-1.034371,-7.8717404E-02,10.37001,9.6431959E-02,
ten78,tensio,-1.114237,-1.034371,-7.9865510E-02,1.000000,-1.114237,-1.034371,-7.9865510E-02,10.37001,9.6431959E-02,
ten79,tensio,-1.117107,-1.034371,-8.2735774E-02,1.000000,-1.117107,-1.034371,-8.2735774E-02,10.37001,9.6431959E-02,
ten80,tensio,-1.120551,-1.034371,-8.6180091E-02,1.000000,-1.120551,-1.034371,-8.6180091E-02,10.37001,9.6431959E-02,
ten81,tensio,-1.122847,-1.034371,-8.8476302E-02,1.000000,-1.122847,-1.034371,-8.8476302E-02,10.37001,9.6431959E-02,
ten82,tensio,-1.125144,-1.034371,-9.0772513E-02,1.000000,-1.125144,-1.034371,-9.0772513E-02,10.37001,9.6431959E-02,
ten83,tensio,-1.128014,-1.034371,-9.3642777E-02,1.000000,-1.128014,-1.034371,-9.3642777E-02,10.37001,9.6431959E-02,
ten84,tensio,-1.130310,-1.034371,-9.5938989E-02,1.000000,-1.130310,-1.034371,-9.5938989E-02,10.37001,9.6431959E-02,
ten85,tensio,-1.131458,-1.034371,-9.7087094E-02,1.000000,-1.131458,-1.034371,-9.7087094E-02,10.37001,9.6431959E-02,
ten86,tensio,-1.135476,-1.034371,-0.1011055,1.000000,-1.135476,-1.034371,-0.1011055,10.37001,9.6431959E-02,
ten87,tensio,-1.137199,-1.065902,-7.1296622E-02,1.000000,-1.137199,-1.065902,-7.1296622E-02,10.37001,9.6431959E-02,
ten88,tensio,-1.137773,-1.065902,-7.1870675E-02,1.000000,-1.137773,-1.065902,-7.1870675E-02,10.37001,9.6431959E-02,
ten89,tensio,-1.139495,-1.065902,-7.3592834E-02,1.000000,-1.139495,-1.065902,-7.3592834E-02,10.37001,9.6431959E-02,
ten90,tensio,-1.142939,-1.065902,-7.7037150E-02,1.000000,-1.142939,-1.065902,-7.7037150E-02,10.37001,9.6431959E-02,
ten91,tensio,-1.144661,-1.065902,-7.8759309E-02,1.000000,-1.144661,-1.065902,-7.8759309E-02,10.37001,9.6431959E-02,
ten92,tensio,-1.146958,-1.065902,-8.1055520E-02,1.000000,-1.146958,-1.065902,-8.1055520E-02,10.37001,9.6431959E-02,
ten93,tensio,-1.148106,-1.065902,-8.2203626E-02,1.000000,-1.148106,-1.065902,-8.2203626E-02,10.37001,9.6431959E-02,
ten94,tensio,-1.150402,-1.065902,-8.4499837E-02,1.000000,-1.150402,-1.065902,-8.4499837E-02,10.37001,9.6431959E-02,
ten95,tensio,-1.157290,-1.065902,-9.1388471E-02,1.000000,-1.157290,-1.065902,-9.1388471E-02,10.37001,9.6431959E-02,
ten96,tensio,-1.153846,-1.065902,-8.7944154E-02,1.000000,-1.153846,-1.065902,-8.7944154E-02,10.37001,9.6431959E-02,
msbc25,surf,0.1000000,0.000000,0.1000000,1000.000,100.0000,0.000000,100.0000,1.0370006E-02,96.43196,
