Name,Group,Measured,Modelled,Res,Wt,WtMeas,WtMod,WtRes,SD,NatWt,
ten1,tensio,-1.150402,-1.114955,-3.5446837E-02,1.000000,-1.150402,-1.114955,-3.5446837E-02,0.1360299,7.351327,
ten2,tensio,-1.149828,-1.114955,-3.4872784E-02,1.000000,-1.149828,-1.114955,-3.4872784E-02,0.1360299,7.351327,
ten3,tensio,-1.137773,-1.114955,-2.2817675E-02,1.000000,-1.137773,-1.114955,-2.2817675E-02,0.1360299,7.351327,
ten4,tensio,-1.143513,-1.114955,-2.8558203E-02,1.000000,-1.143513,-1.114955,-2.8558203E-02,0.1360299,7.351327,
ten5,tensio,-1.142365,-1.114955,-2.7410098E-02,1.000000,-1.142365,-1.114955,-2.7410098E-02,0.1360299,7.351327,
ten6,tensio,-1.145809,-1.114955,-3.0854414E-02,1.000000,-1.145809,-1.114955,-3.0854414E-02,0.1360299,7.351327,
ten7,tensio,-1.150976,-1.114955,-3.6020890E-02,1.000000,-1.150976,-1.114955,-3.6020890E-02,0.1360299,7.351327,
ten8,tensio,-1.153846,-1.114955,-3.8891154E-02,1.000000,-1.153846,-1.114955,-3.8891154E-02,0.1360299,7.351327,
ten9,tensio,-1.150402,-1.114955,-3.5446837E-02,1.000000,-1.150402,-1.114955,-3.5446837E-02,0.1360299,7.351327,
ten10,tensio,-1.147532,-1.114955,-3.2576573E-02,1.000000,-1.147532,-1.114955,-3.2576573E-02,0.1360299,7.351327,
ten11,tensio,-1.159013,-1.114955,-4.4057629E-02,1.000000,-1.159013,-1.114955,-4.4057629E-02,0.1360299,7.351327,
ten12,tensio,-1.169346,-1.114955,-5.4390580E-02,1.000000,-1.169346,-1.114955,-5.4390580E-02,0.1360299,7.351327,
ten13,tensio,-1.162457,-1.114955,-4.7501946E-02,1.000000,-1.162457,-1.114955,-4.7501946E-02,0.1360299,7.351327,
ten14,tensio,-1.148106,-1.114955,-3.3150626E-02,1.000000,-1.148106,-1.114955,-3.3150626E-02,0.1360299,7.351327,
ten15,tensio,-1.102181,-1.114955,1.2773599E-02,1.000000,-1.102181,-1.114955,1.2773599E-02,0.1360299,7.351327,
ten16,tensio,-1.039036,-1.114955,7.5919409E-02,1.000000,-1.039036,-1.114955,7.5919409E-02,0.1360299,7.351327,
ten17,tensio,-0.9678530,-1.114955,0.1471020,1.000000,-0.9678530,-1.114955,0.1471020,0.1360299,7.351327,
ten18,tensio,-0.8972445,-1.114955,0.2177105,1.000000,-0.8972445,-1.114955,0.2177105,0.1360299,7.351327,
ten19,tensio,-0.8484501,-1.114955,0.2665049,1.000000,-0.8484501,-1.114955,0.2665049,0.1360299,7.351327,
ten20,tensio,-0.8082664,-1.114955,0.3066886,1.000000,-0.8082664,-1.114955,0.3066886,0.1360299,7.351327,
ten21,tensio,-0.7876005,-1.114955,0.3273545,1.000000,-0.7876005,-1.114955,0.3273545,0.1360299,7.351327,
ten22,tensio,-0.7818599,-1.114955,0.3330951,1.000000,-0.7818599,-1.114955,0.3330951,0.1360299,7.351327,
ten23,tensio,-0.7715270,-1.114955,0.3434280,1.000000,-0.7715270,-1.114955,0.3434280,0.1360299,7.351327,
ten24,tensio,-0.7726751,-1.114955,0.3422799,1.000000,-0.7726751,-1.114955,0.3422799,0.1360299,7.351327,
ten25,tensio,-0.7835821,-1.114955,0.3313729,1.000000,-0.7835821,-1.114955,0.3313729,0.1360299,7.351327,
ten26,tensio,-0.8008037,-1.114955,0.3141513,1.000000,-0.8008037,-1.114955,0.3141513,0.1360299,7.351327,
ten27,tensio,-0.8185993,-1.114955,0.2963557,1.000000,-0.8185993,-1.114955,0.2963557,0.1360299,7.351327,
ten28,tensio,-0.8289323,-1.114955,0.2860227,1.000000,-0.8289323,-1.114955,0.2860227,0.1360299,7.351327,
ten29,tensio,-0.8455798,-1.114955,0.2693752,1.000000,-0.8455798,-1.114955,0.2693752,0.1360299,7.351327,
ten30,tensio,-0.8656716,-1.114955,0.2492834,1.000000,-0.8656716,-1.114955,0.2492834,0.1360299,7.351327,
ten31,tensio,-0.8800230,-1.114955,0.2349320,1.000000,-0.8800230,-1.114955,0.2349320,0.1360299,7.351327,
ten32,tensio,-0.8960964,-1.114955,0.2188586,1.000000,-0.8960964,-1.114955,0.2188586,0.1360299,7.351327,
ten33,tensio,-0.9081515,-1.114955,0.2068035,1.000000,-0.9081515,-1.114955,0.2068035,0.1360299,7.351327,
ten34,tensio,-0.9179104,-1.114955,0.1970446,1.000000,-0.9179104,-1.114955,0.1970446,0.1360299,7.351327,
ten35,tensio,-0.9293915,-1.114955,0.1855635,1.000000,-0.9293915,-1.114955,0.1855635,0.1360299,7.351327,
ten36,tensio,-0.9380023,-1.114955,0.1769527,1.000000,-0.9380023,-1.114955,0.1769527,0.1360299,7.351327,
ten37,tensio,-0.9489093,-1.114955,0.1660457,1.000000,-0.9489093,-1.114955,0.1660457,0.1360299,7.351327,
ten38,tensio,-0.9592423,-1.114955,0.1557127,1.000000,-0.9592423,-1.114955,0.1557127,0.1360299,7.351327,
ten39,tensio,-0.9684271,-1.114955,0.1465279,1.000000,-0.9684271,-1.114955,0.1465279,0.1360299,7.351327,
ten40,tensio,-0.9758898,-1.114955,0.1390652,1.000000,-0.9758898,-1.114955,0.1390652,0.1360299,7.351327,
ten41,tensio,-0.9867968,-1.114955,0.1281582,1.000000,-0.9867968,-1.114955,0.1281582,0.1360299,7.351327,
ten42,tensio,-0.9936854,-1.114955,0.1212696,1.000000,-0.9936854,-1.114955,0.1212696,0.1360299,7.351327,
ten43,tensio,-1.003444,-1.114955,0.1115107,1.000000,-1.003444,-1.114955,0.1115107,0.1360299,7.351327,
ten44,tensio,-1.008037,-1.114955,0.1069183,1.000000,-1.008037,-1.114955,0.1069183,0.1360299,7.351327,
ten45,tensio,-1.018370,-1.114955,9.6585310E-02,1.000000,-1.018370,-1.114955,9.6585310E-02,0.1360299,7.351327,
ten46,tensio,-1.022962,-1.114955,9.1992887E-02,1.000000,-1.022962,-1.114955,9.1992887E-02,0.1360299,7.351327,
ten47,tensio,-1.033295,-1.114955,8.1659937E-02,1.000000,-1.033295,-1.114955,8.1659937E-02,0.1360299,7.351327,
ten48,tensio,-1.035591,-1.114955,7.9363726E-02,1.000000,-1.035591,-1.114955,7.9363726E-02,0.1360299,7.351327,
ten49,tensio,-1.045924,-1.114955,6.9030775E-02,1.000000,-1.045924,-1.114955,6.9030775E-02,0.1360299,7.351327,
ten50,tensio,-1.049369,-1.114955,6.5586458E-02,1.000000,-1.049369,-1.114955,6.5586458E-02,0.1360299,7.351327,
ten51,tensio,-1.055109,-1.114955,5.9845930E-02,1.000000,-1.055109,-1.114955,5.9845930E-02,0.1360299,7.351327,
ten52,tensio,-1.058553,-1.114955,5.6401613E-02,1.000000,-1.058553,-1.114955,5.6401613E-02,0.1360299,7.351327,
ten53,tensio,-1.064294,-1.114955,5.0661085E-02,1.000000,-1.064294,-1.114955,5.0661085E-02,0.1360299,7.351327,
ten54,tensio,-1.071183,-1.114955,4.3772451E-02,1.000000,-1.071183,-1.114955,4.3772451E-02,0.1360299,7.351327,
ten55,tensio,-1.075201,-1.114955,3.9754082E-02,1.000000,-1.075201,-1.114955,3.9754082E-02,0.1360299,7.351327,
ten56,tensio,-1.080941,-1.114955,3.4013553E-02,1.000000,-1.080941,-1.114955,3.4013553E-02,0.1360299,7.351327,
ten57,tensio,-1.086108,-1.114955,2.8847078E-02,1.000000,-1.086108,-1.114955,2.8847078E-02,0.1360299,7.351327,
ten58,tensio,-1.086108,-1.114955,2.8847078E-02,1.000000,-1.086108,-1.114955,2.8847078E-02,0.1360299,7.351327,
ten59,tensio,-1.088978,-1.114955,2.5976814E-02,1.000000,-1.088978,-1.114955,2.5976814E-02,0.1360299,7.351327,
ten60,tensio,-1.091848,-1.114955,2.3106550E-02,1.000000,-1.091848,-1.114955,2.3106550E-02,0.1360299,7.351327,
ten61,tensio,-1.093571,-1.114955,2.1384391E-02,1.000000,-1.093571,-1.114955,2.1384391E-02,0.1360299,7.351327,
ten62,tensio,-1.096441,-1.114955,1.8514127E-02,1.000000,-1.096441,-1.114955,1.8514127E-02,0.1360299,7.351327,
ten63,tensio,-1.099885,-1.114955,1.5069811E-02,1.000000,-1.099885,-1.114955,1.5069811E-02,0.1360299,7.351327,
ten64,tensio,-1.102181,-1.114955,1.2773599E-02,1.000000,-1.102181,-1.114955,1.2773599E-02,0.1360299,7.351327,
ten65,tensio,-1.105626,-1.114955,9.3292824E-03,1.000000,-1.105626,-1.114955,9.3292824E-03,0.1360299,7.351327,
ten66,tensio,-1.108496,-1.114955,6.4590184E-03,1.000000,-1.108496,-1.114955,6.4590184E-03,0.1360299,7.351327,
ten67,tensio,-1.111940,-1.114955,3.0147015E-03,1.000000,-1.111940,-1.114955,3.0147015E-03,0.1360299,7.351327,
ten68,tensio,-1.113662,-1.114955,1.2925430E-03,1.000000,-1.113662,-1.114955,1.2925430E-03,0.1360299,7.351327,
ten69,tensio,-1.116533,-1.114955,-1.5777210E-03,1.000000,-1.116533,-1.114955,-1.5777210E-03,0.1360299,7.351327,
ten70,tensio,-1.120551,-1.114955,-5.5960907E-03,1.000000,-1.120551,-1.114955,-5.5960907E-03,0.1360299,7.351327,
ten71,tensio,-1.120551,-1.114955,-5.5960907E-03,1.000000,-1.120551,-1.114955,-5.5960907E-03,0.1360299,7.351327,
ten72,tensio,-1.123995,-1.114955,-9.0404076E-03,1.000000,-1.123995,-1.114955,-9.0404076E-03,0.1360299,7.351327,
ten73,tensio,-1.126866,-1.114955,-1.1910672E-02,1.000000,-1.126866,-1.114955,-1.1910672E-02,0.1360299,7.351327,
ten74,tensio,-1.130310,-1.114955,-1.5354989E-02,1.000000,-1.130310,-1.114955,-1.5354989E-02,0.1360299,7.351327,
ten75,tensio,-1.132032,-1.114955,-1.7077147E-02,1.000000,-1.132032,-1.114955,-1.7077147E-02,0.1360299,7.351327,
ten76,tensio,-1.134902,-1.114955,-1.9947411E-02,1.000000,-1.134902,-1.114955,-1.9947411E-02,0.1360299,7.351327,
ten77,tensio,-1.137199,-1.114955,-2.2243622E-02,1.000000,-1.137199,-1.114955,-2.2243622E-02,0.1360299,7.351327,
ten78,tensio,-1.138921,-1.114955,-2.3965781E-02,1.000000,-1.138921,-1.114955,-2.3965781E-02,0.1360299,7.351327,
ten79,tensio,-1.140643,-1.114955,-2.5687939E-02,1.000000,-1.140643,-1.114955,-2.5687939E-02,0.1360299,7.351327,
ten80,tensio,-1.143513,-1.114955,-2.8558203E-02,1.000000,-1.143513,-1.114955,-2.8558203E-02,0.1360299,7.351327,
ten81,tensio,-1.146383,-1.114955,-3.1428467E-02,1.000000,-1.146383,-1.114955,-3.1428467E-02,0.1360299,7.351327,
ten82,tensio,-1.146383,-1.114955,-3.1428467E-02,1.000000,-1.146383,-1.114955,-3.1428467E-02,0.1360299,7.351327,
ten83,tensio,-1.150402,-1.114955,-3.5446837E-02,1.000000,-1.150402,-1.114955,-3.5446837E-02,0.1360299,7.351327,
ten84,tensio,-1.151550,-1.114955,-3.6594943E-02,1.000000,-1.151550,-1.114955,-3.6594943E-02,0.1360299,7.351327,
ten85,tensio,-1.152698,-1.114955,-3.7743048E-02,1.000000,-1.152698,-1.114955,-3.7743048E-02,0.1360299,7.351327,
ten86,tensio,-1.154994,-1.114955,-4.0039259E-02,1.000000,-1.154994,-1.114955,-4.0039259E-02,0.1360299,7.351327,
ten87,tensio,-1.156142,-1.114955,-4.1187365E-02,1.000000,-1.156142,-1.114955,-4.1187365E-02,0.1360299,7.351327,
ten88,tensio,-1.159587,-1.114955,-4.4631682E-02,1.000000,-1.159587,-1.114955,-4.4631682E-02,0.1360299,7.351327,
ten89,tensio,-1.160735,-1.114955,-4.5779788E-02,1.000000,-1.160735,-1.114955,-4.5779788E-02,0.1360299,7.351327,
ten90,tensio,-1.159013,-1.114955,-4.4057629E-02,1.000000,-1.159013,-1.114955,-4.4057629E-02,0.1360299,7.351327,
ten91,tensio,-1.163031,-1.114955,-4.8075999E-02,1.000000,-1.163031,-1.114955,-4.8075999E-02,0.1360299,7.351327,
ten92,tensio,-1.164179,-1.114955,-4.9224104E-02,1.000000,-1.164179,-1.114955,-4.9224104E-02,0.1360299,7.351327,
ten93,tensio,-1.160735,-1.114955,-4.5779788E-02,1.000000,-1.160735,-1.114955,-4.5779788E-02,0.1360299,7.351327,
ten94,tensio,-1.171642,-1.114955,-5.6686791E-02,1.000000,-1.171642,-1.114955,-5.6686791E-02,0.1360299,7.351327,
ten95,tensio,-1.161309,-1.114955,-4.6353840E-02,1.000000,-1.161309,-1.114955,-4.6353840E-02,0.1360299,7.351327,
ten96,tensio,-1.161309,-1.114955,-4.6353840E-02,1.000000,-1.161309,-1.114955,-4.6353840E-02,0.1360299,7.351327,
msbc21,surf,0.1000000,0.1000080,-8.0000000E-06,10000.00,1000.000,1000.080,-8.0000000E-02,1.3602987E-05,73513.27,
