Name,Group,Measured,Modelled,Res,Wt,WtMeas,WtMod,WtRes,SD,NatWt,
ten1,tensio,-1.464409,-1.343424,-0.1209847,1.000000,-1.464409,-1.343424,-0.1209847,103.6952,9.6436487E-03,
ten2,tensio,-1.460964,-1.343424,-0.1175404,1.000000,-1.460964,-1.343424,-0.1175404,103.6952,9.6436487E-03,
ten3,tensio,-1.458668,-1.343424,-0.1152442,1.000000,-1.458668,-1.343424,-0.1152442,103.6952,9.6436487E-03,
ten4,tensio,-1.459816,-1.343424,-0.1163923,1.000000,-1.459816,-1.343424,-0.1163923,103.6952,9.6436487E-03,
ten5,tensio,-1.456946,-1.343424,-0.1135220,1.000000,-1.456946,-1.343424,-0.1135220,103.6952,9.6436487E-03,
ten6,tensio,-1.461538,-1.343424,-0.1181145,1.000000,-1.461538,-1.343424,-0.1181145,103.6952,9.6436487E-03,
ten7,tensio,-1.460390,-1.343424,-0.1169664,1.000000,-1.460390,-1.343424,-0.1169664,103.6952,9.6436487E-03,
ten8,tensio,-1.458668,-1.343424,-0.1152442,1.000000,-1.458668,-1.343424,-0.1152442,103.6952,9.6436487E-03,
ten9,tensio,-1.462113,-1.343424,-0.1186885,1.000000,-1.462113,-1.343424,-0.1186885,103.6952,9.6436487E-03,
ten10,tensio,-1.453502,-1.343424,-0.1100777,1.000000,-1.453502,-1.343424,-0.1100777,103.6952,9.6436487E-03,
ten11,tensio,-1.454076,-1.343424,-0.1106518,1.000000,-1.454076,-1.343424,-0.1106518,103.6952,9.6436487E-03,
ten12,tensio,-1.451780,-1.343424,-0.1083556,1.000000,-1.451780,-1.343424,-0.1083556,103.6952,9.6436487E-03,
ten13,tensio,-1.452354,-1.343424,-0.1089296,1.000000,-1.452354,-1.343424,-0.1089296,103.6952,9.6436487E-03,
ten14,tensio,-1.458668,-1.343424,-0.1152442,1.000000,-1.458668,-1.343424,-0.1152442,103.6952,9.6436487E-03,
ten15,tensio,-1.452354,-1.343424,-0.1089296,1.000000,-1.452354,-1.343424,-0.1089296,103.6952,9.6436487E-03,
ten16,tensio,-1.448909,-1.343424,-0.1054853,1.000000,-1.448909,-1.343424,-0.1054853,103.6952,9.6436487E-03,
ten17,tensio,-1.449483,-1.343424,-0.1060594,1.000000,-1.449483,-1.343424,-0.1060594,103.6952,9.6436487E-03,
ten18,tensio,-1.430540,-1.343424,-8.7115610E-02,1.000000,-1.430540,-1.343424,-8.7115610E-02,103.6952,9.6436487E-03,
ten19,tensio,-1.404133,-1.267308,-0.1368252,1.000000,-1.404133,-1.267308,-0.1368252,103.6952,9.6436487E-03,
ten20,tensio,-1.320321,-1.214937,-0.1053845,1.000000,-1.320321,-1.214937,-0.1053845,103.6952,9.6436487E-03,
ten21,tensio,-1.060276,-1.119297,5.9021455E-02,1.000000,-1.060276,-1.119297,5.9021455E-02,103.6952,9.6436487E-03,
ten22,tensio,-0.7824340,-0.8849670,0.1025330,1.000000,-0.7824340,-0.8849670,0.1025330,103.6952,9.6436487E-03,
ten23,tensio,-0.7169920,-0.7244270,7.4350367E-03,1.000000,-0.7169920,-0.7244270,7.4350367E-03,103.6952,9.6436487E-03,
ten24,tensio,-0.7112514,-0.6502650,-6.0986435E-02,1.000000,-0.7112514,-0.6502650,-6.0986435E-02,103.6952,9.6436487E-03,
ten25,tensio,-0.7123995,-0.6809010,-3.1498541E-02,1.000000,-0.7123995,-0.6809010,-3.1498541E-02,103.6952,9.6436487E-03,
ten26,tensio,-0.7152698,-0.6956890,-1.9580805E-02,1.000000,-0.7152698,-0.6956890,-1.9580805E-02,103.6952,9.6436487E-03,
ten27,tensio,-0.7169920,-0.7101850,-6.8069633E-03,1.000000,-0.7169920,-0.7101850,-6.8069633E-03,103.6952,9.6436487E-03,
ten28,tensio,-0.7307692,-0.7244270,-6.3422308E-03,1.000000,-0.7307692,-0.7244270,-6.3422308E-03,103.6952,9.6436487E-03,
ten29,tensio,-0.7669346,-0.7384480,-2.8486558E-02,1.000000,-0.7669346,-0.7384480,-2.8486558E-02,103.6952,9.6436487E-03,
ten30,tensio,-0.7887486,-0.7522790,-3.6469565E-02,1.000000,-0.7887486,-0.7522790,-3.6469565E-02,103.6952,9.6436487E-03,
ten31,tensio,-0.8088404,-0.7659460,-4.2894413E-02,1.000000,-0.8088404,-0.7659460,-4.2894413E-02,103.6952,9.6436487E-03,
ten32,tensio,-0.8283582,-0.7659460,-6.2412209E-02,1.000000,-0.8283582,-0.7659460,-6.2412209E-02,103.6952,9.6436487E-03,
ten33,tensio,-0.8467279,-0.7794730,-6.7254899E-02,1.000000,-0.8467279,-0.7794730,-6.7254899E-02,103.6952,9.6436487E-03,
ten34,tensio,-0.8639495,-0.7928820,-7.1067483E-02,1.000000,-0.8639495,-0.7928820,-7.1067483E-02,103.6952,9.6436487E-03,
ten35,tensio,-0.8828932,-0.8061930,-7.6700226E-02,1.000000,-0.8828932,-0.8061930,-7.6700226E-02,103.6952,9.6436487E-03,
ten36,tensio,-0.8960964,-0.8194250,-7.6671441E-02,1.000000,-0.8960964,-0.8194250,-7.6671441E-02,103.6952,9.6436487E-03,
ten37,tensio,-0.9064294,-0.8194250,-8.7004392E-02,1.000000,-0.9064294,-0.8194250,-8.7004392E-02,103.6952,9.6436487E-03,
